gisjoin,year,state,county,total_pop,urban_pop,rural_farm_pop,black_pop,white_pop,black_farm_val,white_farm_val,black_acres,white_acres,black_num_farms,white_num_farms
G0100010,1930,Alabama,Autauga,19694,0,14356,10907,8787,1763200,3624993,77169,138308,1924,1057
G0100030,1930,Alabama,Baldwin,28289,0,13297,6798,21484,280150,9166620,9661,171198,320,2134
G0100050,1930,Alabama,Barbour,32425,5208,21061,18659,13766,2398743,3058758,155085,162955,2262,1593
G0100070,1930,Alabama,Bibb,20780,0,9896,6876,13904,703095,2268058,24606,117169,668,1282
G0100090,1930,Alabama,Blount,28020,0,22048,1069,26951,105860,7127408,4115,279378,86,4287
G0100110,1930,Alabama,Bullock,20016,2875,14940,15754,4262,1980007,1467691,131304,97795,2473,448
G0100130,1930,Alabama,Butler,30195,3985,18980,14682,15513,1822222,4103678,82713,186866,1695,1906
G0100150,1930,Alabama,Calhoun,55611,28853,17631,12536,43071,633055,6007830,21864,192860,461,2609
G0100170,1930,Alabama,Chambers,39313,5204,21778,17928,21385,2810492,3586308,145408,130054,2431,1692
G0100190,1930,Alabama,Cherokee,20219,0,18225,1831,18388,511077,7443212,15179,236439,274,3239
G0100210,1930,Alabama,Chilton,24579,0,19117,3968,20611,629481,6034505,28250,209353,575,3345
G0100230,1930,Alabama,Choctaw,20513,0,14058,11236,9276,1382777,2418255,79538,166951,1611,1132
G0100250,1930,Alabama,Clarke,26016,0,16771,13625,12390,1452771,2258822,82377,164771,1772,1333
G0100270,1930,Alabama,Clay,17768,0,14852,2727,15041,383554,3838134,19391,194580,359,2673
G0100290,1930,Alabama,Cleburne,12877,0,10410,766,12109,68192,2669831,3315,172588,68,1962
G0100310,1930,Alabama,Coffee,32556,6225,23870,6894,25662,1256612,7853040,43997,291132,732,3442
G0100330,1930,Alabama,Colbert,29860,10754,14851,8482,21377,2752667,6946898,37433,143959,931,1973
G0100350,1930,Alabama,Conecuh,25429,0,18100,11095,14334,1659735,4358482,66149,153583,1476,1997
G0100370,1930,Alabama,Coosa,12460,0,9821,4640,7820,666912,1903360,59560,142164,677,1199
G0100390,1930,Alabama,Covington,41356,10652,23341,7078,34278,797315,8409842,25032,290781,520,3906
G0100410,1930,Alabama,Crenshaw,23656,0,17939,7301,16355,1526495,5324380,54909,210645,1030,2565
G0100430,1930,Alabama,Cullman,41051,2786,34230,441,40610,137575,12990226,4575,365812,76,6984
G0100450,1930,Alabama,Dale,23175,3103,16148,5410,17765,919210,5408472,31546,241304,515,2391
G0100470,1930,Alabama,Dallas,55094,18012,33386,40867,14227,5048579,3946712,210683,133047,6405,691
G0100490,1930,Alabama,DeKalb,40104,3375,33635,851,39253,102430,13409434,2748,373658,58,6528
G0100510,1930,Alabama,Elmore,34280,0,24580,14182,20097,2635426,6962501,76502,185712,1837,2413
G0100530,1930,Alabama,Escambia,27963,5853,12784,8558,19056,721700,5216933,16939,123695,428,1735
G0100550,1930,Alabama,Etowah,63399,37171,20468,9944,53454,248432,9855474,6602,237000,152,3621
G0100570,1930,Alabama,Fayette,18443,0,14420,2630,15813,337670,3306602,22205,244722,327,2453
G0100590,1930,Alabama,Franklin,25372,3146,17463,1419,23953,190320,6121414,5495,230409,113,3316
G0100610,1930,Alabama,Geneva,30104,0,21906,3898,26206,687926,9737566,16889,245185,302,3346
G0100630,1930,Alabama,Greene,19745,0,15810,16263,3482,2557493,1713271,121010,67838,3168,385
G0100650,1930,Alabama,Hale,26265,0,21765,19412,6853,4363062,4354292,128902,120418,3873,960
G0100670,1930,Alabama,Henry,22820,0,17773,10789,12031,2394010,4873972,84132,178619,1331,1740
G0100690,1930,Alabama,Houston,45935,16046,25341,13529,32406,2177345,10904878,49275,227155,971,3749
G0100710,1930,Alabama,Jackson,36881,0,27787,2688,34192,530730,11466588,12265,369704,281,5056
G0100730,1930,Alabama,Jefferson,431493,307431,19537,167957,263475,1082505,14909320,8823,170065,327,3022
G0100750,1930,Alabama,Lamar,18001,0,15029,2851,15150,427502,3411304,32371,241152,410,2665
G0100770,1930,Alabama,Lauderdale,41130,11729,26350,7782,33348,2034431,9940788,39046,256543,959,4287
G0100790,1930,Alabama,Lawrence,26942,0,24345,7053,19889,2463289,8098786,52458,222421,1393,3726
G0100810,1930,Alabama,Lee,36063,15555,17562,18629,17434,2377692,3276958,138258,131747,1992,978
G0100830,1930,Alabama,Limestone,36629,4238,29760,9987,26642,2979006,10507998,65315,229706,1929,4420
G0100850,1930,Alabama,Lowndes,22878,0,20006,19632,3246,2923121,2855122,124653,150784,3527,466
G0100870,1930,Alabama,Macon,27103,3314,20191,22320,4783,3417057,2448115,145173,71855,3114,600
G0100890,1930,Alabama,Madison,64623,11554,36243,19272,45350,4345764,12790674,106212,281058,2772,4406
G0100910,1930,Alabama,Marengo,36426,4037,27607,26349,10076,3918964,4581421,158890,228205,5314,1189
G0100930,1930,Alabama,Marion,25967,0,19420,861,25106,65735,5029382,5439,301535,70,3676
G0100950,1930,Alabama,Marshall,39802,5542,30937,1272,38521,151670,14002764,3764,298893,102,6177
G0100970,1930,Alabama,Mobile,118363,72782,10269,42255,75956,333247,9089528,5414,112596,151,1406
G0100990,1930,Alabama,Monroe,30070,0,22258,15782,14250,1962090,5901814,93307,225095,2097,1797
G0101010,1930,Alabama,Montgomery,98671,66079,23347,52144,46522,4056209,7764565,120675,203396,3178,891
G0101030,1930,Alabama,Morgan,46176,15593,24553,8311,37865,1225220,10379040,23452,256319,659,4420
G0101050,1930,Alabama,Perry,26385,0,20625,19156,7229,2976587,3326621,128949,136665,3435,912
G0101070,1930,Alabama,Pickens,24902,0,19969,11932,12970,2096577,3981158,103188,215447,2119,2008
G0101090,1930,Alabama,Pike,32240,6814,21273,14539,17701,2164001,5363692,90462,209206,1506,2163
G0101110,1930,Alabama,Randolph,26861,4373,20404,5884,20977,819633,5424929,45800,239521,791,3278
G0101130,1930,Alabama,Russell,27377,7263,17683,19562,7815,2037429,2097531,135972,122297,2243,414
G0101150,1930,Alabama,St Clair,24510,0,14217,4832,19678,542080,4485541,23201,181672,348,2076
G0101170,1930,Alabama,Shelby,27576,0,14302,6973,20603,456065,4584456,16802,160378,392,1849
G0101190,1930,Alabama,Sumter,26929,0,21117,21247,5682,3180102,3529996,150050,143439,3812,592
G0101210,1930,Alabama,Talladega,45241,11711,23314,17152,28087,2346943,4636621,102239,162966,1912,2091
G0101230,1930,Alabama,Tallapoosa,31188,4519,17368,9773,21415,1432890,4169516,74812,204352,1161,2179
G0101250,1930,Alabama,Tuscaloosa,64153,20659,23947,21566,42585,1905340,7151696,69665,276070,1546,3206
G0101270,1930,Alabama,Walker,59445,7832,19960,7813,51632,63020,5118169,2557,207388,92,3544
G0101290,1930,Alabama,Washington,16365,0,10083,6813,9552,523834,2494541,32126,166064,676,1085
G0101310,1930,Alabama,Wilcox,24880,0,20395,19319,5561,1899916,3356613,102713,212019,3620,724
G0101330,1930,Alabama,Winston,15596,0,11500,83,15513,0,2679475,0,179365,0,2177
G0250015,1930,Alaska Territory,First Judicial Dist,19304,7839,NA,NA,12877,3105,1134814,121,58672,2,200
G0250035,1930,Alaska Territory,Fourth Judicial Dist,10127,0,NA,NA,5488,0,528162,0,320,0,1
G0250075,1930,Alaska Territory,Second Judicial Dist,16309,0,NA,NA,1427,NA,NA,23655,417481,6,181
G0250115,1930,Alaska Territory,Third Judicial Dist,13538,0,NA,NA,8848,25404,1165700,0,25693,0,110
G0400010,1930,Arizona,Apache,17765,0,12507,338,3786,229078,3095444,29606,997306,1022,422
G0400030,1930,Arizona,Cochise,40998,17851,4157,1910,25857,43150,8426124,773,1917383,7,920
G0400050,1930,Arizona,Coconino,14064,3891,4754,115,6650,23587,3385137,2269,1096930,429,360
G0400070,1930,Arizona,Gila,31016,14850,1641,161,18026,25485,1672800,1228,118914,18,288
G0400090,1930,Arizona,Graham,10373,0,4276,53,7613,13000,7999090,600,468007,5,744
G0400110,1930,Arizona,Greenlee,9886,0,1243,28,5042,0,1272197,0,55158,0,257
G0400130,1930,Arizona,Maricopa,150970,55494,36427,4879,108284,5521905,99379024,28303,550047,522,4075
G0400150,1930,Arizona,Mohave,5572,0,1352,0,4097,26056,1884364,620,520872,93,291
G0400170,1930,Arizona,Navajo,21202,3917,9986,98,8136,204901,2656927,8234,944462,937,350
G0400190,1930,Arizona,Pima,55676,32506,5951,1251,32726,458126,7282869,17197,932212,280,477
G0400210,1930,Arizona,Pinal,22081,0,6546,234,10164,2532240,11166672,22994,362566,530,478
G0400230,1930,Arizona,Santa Cruz,9684,6006,1222,718,3833,24250,1813177,2785,250852,9,211
G0400250,1930,Arizona,Yavapai,28470,10449,3096,181,19047,13060,10113012,249,2105584,11,664
G0400270,1930,Arizona,Yuma,17816,4892,5661,783,11117,430900,14538082,4230,87246,90,683
G0500010,1930,Arkansas,Arkansas,22300,4927,12922,4916,17381,611710,11544660,29289,286433,605,1696
G0500030,1930,Arkansas,Ashley,25151,2811,17011,11858,13265,3106415,3399742,60827,103380,2189,1652
G0500050,1930,Arkansas,Baxter,9519,0,6425,1,9518,0,3284114,0,177707,0,1447
G0500070,1930,Arkansas,Benton,35253,3554,21681,88,35005,9000,20807860,333,416735,3,5002
G0500090,1930,Arkansas,Boone,14937,3626,9060,0,14932,0,5754180,0,249713,0,1923
G0500110,1930,Arkansas,Bradley,17494,2523,9596,5752,11740,610324,2346093,28302,96407,606,1394
G0500130,1930,Arkansas,Calhoun,9752,0,7604,2993,6759,505370,1984066,27030,92587,444,1053
G0500150,1930,Arkansas,Carroll,15820,0,10585,25,15793,0,7127660,0,278120,0,2351
G0500170,1930,Arkansas,Chicot,22646,2942,15721,14143,8475,4449538,4196627,71870,76697,3036,1107
G0500190,1930,Arkansas,Clark,24932,3380,14353,7293,17639,992096,4411437,39865,194692,835,2279
G0500210,1930,Arkansas,Clay,27278,0,18447,10,27268,0,8614858,0,234411,0,3435
G0500230,1930,Arkansas,Cleburne,11373,0,8516,3,11370,0,3052583,0,160684,0,1778
G0500250,1930,Arkansas,Cleveland,12744,0,10911,3478,9266,524600,2362114,31065,128652,656,1690
G0500270,1930,Arkansas,Columbia,27320,3008,21004,12726,14592,3160206,6001444,118641,186460,2374,2426
G0500290,1930,Arkansas,Conway,21949,4043,16274,5977,15971,1401760,5114485,52035,179649,964,2372
G0500310,1930,Arkansas,Craighead,44740,10326,27828,1741,42996,162885,15814348,2242,257906,68,4689
G0500330,1930,Arkansas,Crawford,22549,5182,13247,1099,21447,89650,5799975,2978,197404,55,2374
G0500350,1930,Arkansas,Crittenden,39717,0,32935,31366,8330,12054004,6068830,162897,82636,7006,1038
G0500370,1930,Arkansas,Cross,25723,3505,18544,10991,14727,4447082,5521234,62352,120261,2417,1981
G0500390,1930,Arkansas,Dallas,14671,3206,8198,5216,9455,452725,2180065,24280,103854,452,1179
G0500410,1930,Arkansas,Desha,21814,3488,13359,13903,7864,3491636,2301734,67542,48230,2843,673
G0500430,1930,Arkansas,Drew,19928,3076,14511,9152,10776,2282423,3396645,67674,139898,1876,1532
G0500450,1930,Arkansas,Faulkner,28381,5534,21426,3657,24721,736300,7739508,25633,278352,483,3721
G0500470,1930,Arkansas,Franklin,15762,0,10850,352,15410,62850,4845483,1827,206832,33,2206
G0500490,1930,Arkansas,Fulton,10834,0,8919,0,10834,0,3313022,0,253243,0,1853
G0500510,1930,Arkansas,Garland,36031,20238,8365,4800,31203,31850,3928413,1067,124692,21,1484
G0500530,1930,Arkansas,Grant,9834,0,7024,872,8962,115250,2031156,7971,100598,115,1234
G0500550,1930,Arkansas,Greene,26127,5966,17919,22,26094,0,8798920,0,225141,0,3388
G0500570,1930,Arkansas,Hempstead,30847,6008,21821,13128,17719,2466348,6476339,93393,196214,2212,2569
G0500590,1930,Arkansas,Hot Spring,18105,5115,9839,2311,15793,100100,3031580,2081,143025,62,1820
G0500610,1930,Arkansas,Howard,17489,0,11292,3826,13662,929000,3559099,22879,111429,745,1936
G0500630,1930,Arkansas,Independence,24225,4484,15733,894,23327,84757,6588988,2173,254455,52,3130
G0500650,1930,Arkansas,Izard,12872,0,10650,175,12697,30550,3505520,1951,247548,33,2344
G0500670,1930,Arkansas,Jackson,27943,4547,19334,5248,22692,1621960,9525826,27275,203568,694,3074
G0500690,1930,Arkansas,Jefferson,64154,20760,32177,37116,27003,9606268,5993884,160186,119534,6739,1360
G0500710,1930,Arkansas,Johnson,19289,3031,11485,366,18911,12978,5622361,526,201042,19,2368
G0500730,1930,Arkansas,Lafayette,16934,2705,11953,8411,8509,2176897,2982632,52062,76968,1554,1400
G0500750,1930,Arkansas,Lawrence,21663,0,14603,430,21233,31450,9037936,823,224426,19,2832
G0500770,1930,Arkansas,Lee,26637,4314,21088,17409,9210,5773548,4175100,121122,103310,4134,1435
G0500790,1930,Arkansas,Lincoln,20250,0,17248,13090,7147,4372286,2569935,84332,103110,3598,1122
G0500810,1930,Arkansas,Little River,15515,0,10960,6013,9469,1581660,2754056,43067,97303,1298,1327
G0500830,1930,Arkansas,Logan,24110,3234,15462,527,23583,171700,7365695,2626,279144,65,3009
G0500850,1930,Arkansas,Lonoke,33759,0,26905,10917,22841,3570251,11775806,59693,262180,2383,3806
G0500870,1930,Arkansas,Madison,13334,0,11704,16,13318,500,4676974,318,322408,3,2481
G0500890,1930,Arkansas,Marion,8876,0,6916,1,8875,0,3051777,0,166675,0,1474
G0500910,1930,Arkansas,Miller,30586,10764,16379,9542,20953,2341970,5601960,41251,139257,1409,2207
G0500930,1930,Arkansas,Mississippi,69289,12671,48834,26145,43094,10445542,22080576,111614,223420,5089,5494
G0500950,1930,Arkansas,Monroe,20651,3046,13944,11501,9148,3611123,3155257,72779,80387,2272,1143
G0500970,1930,Arkansas,Montgomery,10768,0,7165,136,10625,27950,2303782,1780,129831,26,1453
G0500990,1930,Arkansas,Nevada,20407,3033,15363,7244,13163,1180920,4222874,63467,185318,1117,2196
G0501010,1930,Arkansas,Newton,10564,0,9320,0,10563,0,2529813,0,190919,0,1864
G0501030,1930,Arkansas,Ouachita,29890,7273,11984,12987,16878,1891087,2972298,86670,96586,1375,947
G0501050,1930,Arkansas,Perry,7695,0,5846,454,7241,120600,1982475,3732,83599,85,1133
G0501070,1930,Arkansas,Phillips,40683,12805,22864,27269,13328,6238448,4212548,128709,95361,4921,957
G0501090,1930,Arkansas,Pike,11792,0,7395,1122,10669,144630,2451301,4795,115273,115,1539
G0501110,1930,Arkansas,Poinsett,29695,2995,19011,4331,25362,1412550,8843446,17705,165056,726,2950
G0501130,1930,Arkansas,Polk,14857,3118,8840,3,14845,1500,3022247,128,168381,1,1823
G0501150,1930,Arkansas,Pope,26547,5628,16925,1320,25227,253005,7173050,6482,250018,151,3095
G0501170,1930,Arkansas,Prairie,15187,0,10639,3620,11555,645195,5689683,18960,194783,511,1620
G0501190,1930,Arkansas,Pulaski,137727,101097,20726,40215,97462,3824281,11218832,54109,176441,2040,2250
G0501210,1930,Arkansas,Randolph,16871,0,13150,271,16600,80880,7585242,1561,265270,35,2647
G0501230,1930,Arkansas,St Francis,33394,4594,25821,22485,10880,7622035,4580528,142473,116351,5083,1424
G0501250,1930,Arkansas,Saline,15660,3445,7597,558,14999,46140,2985195,1212,130894,32,1538
G0501270,1930,Arkansas,Scott,11803,0,8191,13,11790,2500,3342945,280,156480,1,1629
G0501290,1930,Arkansas,Searcy,11056,0,9084,1,11043,1300,3181029,480,200171,2,1878
G0501310,1930,Arkansas,Sebastian,54426,31429,12748,3990,50374,51070,6708090,1437,197388,40,2654
G0501330,1930,Arkansas,Sevier,16364,2938,10166,1753,14607,313245,3869627,13039,144953,248,1968
G0501350,1930,Arkansas,Sharp,10715,0,8527,19,10696,4700,3265538,457,230923,6,1958
G0501370,1930,Arkansas,Stone,7993,0,7066,15,7977,4300,1843715,572,171324,4,1381
G0501390,1930,Arkansas,Union,55800,18965,17385,17484,38287,2027722,5207211,75416,162766,1494,1970
G0501410,1930,Arkansas,Van Buren,11962,0,10338,121,11838,18350,3350173,1575,225819,20,2164
G0501430,1930,Arkansas,Washington,39255,10157,22330,471,38747,33910,19077542,1019,452836,20,4816
G0501450,1930,Arkansas,White,38269,3387,25412,1872,36394,193850,10472730,6590,361993,110,5003
G0501470,1930,Arkansas,Woodruff,22682,0,16281,10036,12639,3657912,4813810,64657,108162,1831,1601
G0501490,1930,Arkansas,Yell,21313,0,15594,1173,20140,211260,7414073,4586,231527,124,3009
G0600010,1930,California,Alameda,474883,439211,10332,10150,447844,1480314,51484812,1708,314140,90,2537
G0600030,1930,California,Alpine,241,0,83,0,137,12500,416355,240,11290,2,17
G0600050,1930,California,Amador,8494,0,1490,34,7433,40000,6219483,157,313562,2,369
G0600070,1930,California,Butte,34093,11659,9144,303,32570,263450,48039312,2773,616811,26,2577
G0600090,1930,California,Calaveras,6008,0,1686,8,5558,0,6315996,0,370970,0,481
G0600110,1930,California,Colusa,10258,0,4394,68,8828,136000,33661532,2363,479241,7,887
G0600130,1930,California,Contra Costa,78608,43705,9182,355,71461,797280,48793072,2402,376936,41,1849
G0600150,1930,California,Del Norte,4739,0,774,3,4233,132600,3569140,1563,35402,9,141
G0600170,1930,California,El Dorado,8325,0,3053,24,8083,42200,10566090,2070,322748,11,875
G0600190,1930,California,Fresno,144379,63967,48416,1363,125877,4843748,138138336,26386,1467091,395,9939
G0600210,1930,California,Glenn,10935,0,6110,40,10598,23000,38207412,640,585771,3,1460
G0600230,1930,California,Humboldt,43233,15752,8695,37,40837,485470,32589210,15855,781305,173,1872
G0600250,1930,California,Imperial,60903,25172,24752,1954,33136,5430066,57443992,37008,366655,428,2748
G0600270,1930,California,Inyo,6555,0,1005,14,5189,222710,13336824,752,93815,9,209
G0600290,1930,California,Kern,82570,32089,15203,2142,71572,1012650,73484368,5951,1700674,68,2329
G0600310,1930,California,Kings,25385,7028,10871,247,20719,574800,38375896,2983,572443,62,2094
G0600330,1930,California,Lake,7166,0,3027,5,6753,26700,18057020,396,240049,9,1048
G0600350,1930,California,Lassen,12589,0,2199,38,10433,11000,9952620,1000,472268,3,469
G0600370,1930,California,Los Angeles,2208492,1925775,33169,46425,1949882,41028544,436914496,24815,502309,1278,11375
G0600390,1930,California,Madera,17164,4665,7721,416,13873,856535,27075554,14718,611819,63,1466
G0600410,1930,California,Marin,41648,20503,3201,290,39861,23250,16108916,27,264532,4,686
G0600430,1930,California,Mariposa,3233,0,1053,9,3007,21400,3244073,1840,226286,8,277
G0600450,1930,California,Mendocino,23505,6146,6712,49,21994,301316,30470528,6345,932876,52,1620
G0600470,1930,California,Merced,36748,7066,19597,443,32620,1507150,66506124,9224,820153,137,3693
G0600490,1930,California,Modoc,8038,0,2762,11,7136,36100,11406986,2586,447553,11,610
G0600510,1930,California,Mono,1360,0,350,3,1039,42000,2561638,240,65833,1,75
G0600530,1930,California,Monterey,53705,24962,13033,269,44362,2526400,67722664,6904,1298097,77,1814
G0600550,1930,California,Napa,22897,6437,6571,77,22454,105200,36413296,449,323514,9,1677
G0600570,1930,California,Nevada,10596,3817,1822,8,10280,51300,4954543,799,144797,7,532
G0600590,1930,California,Orange,118674,63933,17909,231,99800,4152500,269452384,8125,279842,157,4803
G0600610,1930,California,Placer,24468,9086,7229,66,20408,3703545,21384588,10651,340067,216,1412
G0600630,1930,California,Plumas,7913,0,908,83,7227,4000,3734229,712,166734,3,175
G0600650,1930,California,Riverside,81024,39466,17285,1303,62326,1321595,114195304,7293,626639,162,4584
G0600670,1930,California,Sacramento,141999,93750,20301,1485,121545,6875595,69684168,20802,552223,408,3474
G0600690,1930,California,San Benito,11311,3757,5436,40,9642,722850,29429608,1761,657538,38,1039
G0600710,1930,California,San Bernardino,133900,84230,16799,1302,106816,677370,170232208,2226,293522,42,7020
G0600730,1930,California,San Diego,209659,174032,12421,2886,186208,2287805,82159200,13499,819837,201,3701
G0600750,1930,California,San Francisco,634394,634394,0,3803,594969,19000,4717665,7,1265,2,110
G0600770,1930,California,San Joaquin,102940,58580,26577,572,89257,4396299,134092224,20624,677116,189,5541
G0600790,1930,California,San Luis Obispo,29613,10849,9458,37,25632,1957625,54964856,7454,1458919,74,1849
G0600810,1930,California,San Mateo,77405,53317,4002,429,73504,1277500,22051248,3404,183119,56,785
G0600830,1930,California,Santa Barbara,65167,43515,8241,581,52944,1605790,78509712,5564,1061192,46,1362
G0600850,1930,California,Santa Clara,145118,94844,25761,536,135188,4551640,150414688,9671,507303,262,5975
G0600870,1930,California,Santa Cruz,37433,22739,7501,64,34768,674600,28486340,1033,123448,44,1811
G0600890,1930,California,Shasta,13927,4188,4394,78,12885,227410,14506936,5686,602147,48,1165
G0600910,1930,California,Sierra,2422,0,265,5,2271,0,1444786,0,119579,0,92
G0600930,1930,California,Siskiyou,25480,2610,5355,641,22942,140200,16927976,3298,624406,47,1108
G0600950,1930,California,Solano,40834,17389,7272,376,35986,2376138,42730952,7022,424379,79,1400
G0600970,1930,California,Sonoma,62222,18881,25186,107,60279,926400,106476752,3881,771240,46,6516
G0600990,1930,California,Stanislaus,56641,18118,24949,213,54274,372250,97327280,1674,770951,28,5715
G0601010,1930,California,Sutter,14618,3605,8088,16,13098,182750,57117408,535,343119,11,1747
G0601030,1930,California,Tehama,13866,3517,6764,64,13349,22400,30055782,390,1195406,7,1798
G0601050,1930,California,Trinity,2809,0,1191,6,2485,100790,2923777,6260,178263,23,302
G0601070,1930,California,Tulare,77442,28304,35104,819,67175,1466580,149566032,8069,1184363,185,6969
G0601090,1930,California,Tuolumne,9271,0,1218,20,8482,0,3531485,0,206615,0,293
G0601110,1930,California,Ventura,54976,28233,12152,125,40065,705000,144257520,955,443181,21,1635
G0601130,1930,California,Yolo,23644,5542,8720,194,19099,1738525,65835792,6066,482186,73,1568
G0601150,1930,California,Yuba,11331,5763,2457,181,9854,131450,16578318,1418,258768,19,529
G0800010,1930,Colorado,Adams,20245,3394,9192,107,18482,732090,22410964,4093,553468,64,1848
G0800030,1930,Colorado,Alamosa,8602,5107,2371,49,8023,48000,6729009,640,224552,3,528
G0800050,1930,Colorado,Arapahoe,22647,7980,4840,104,22240,134125,17749892,2880,456793,16,1209
G0800070,1930,Colorado,Archuleta,3204,0,1824,0,1629,1300,2027262,160,163282,1,388
G0800090,1930,Colorado,Baca,10570,0,7626,2,10516,8000,17150962,480,1126096,1,1749
G0800110,1930,Colorado,Bent,9134,2517,4259,15,8064,552055,9560462,4648,536290,31,851
G0800130,1930,Colorado,Boulder,32456,17252,6991,128,30494,215760,17912472,1242,202071,15,1458
G0800150,1930,Colorado,Chaffee,8126,5065,1440,23,7186,22500,3110470,235,73788,6,301
G0800170,1930,Colorado,Cheyenne,3723,0,2582,1,3675,5120,5862396,640,493788,1,624
G0800190,1930,Colorado,Clear Creek,2155,0,96,11,2135,0,592238,0,14454,0,34
G0800210,1930,Colorado,Conejos,9803,0,5898,4,9700,97550,9380910,1192,251360,8,1459
G0800230,1930,Colorado,Costilla,5779,0,2885,1,5402,128975,4016828,2160,347367,26,622
G0800250,1930,Colorado,Crowley,5934,0,3423,17,4574,290150,6662232,2876,325237,21,605
G0800270,1930,Colorado,Custer,2124,0,1360,36,1998,21000,2888693,1860,258309,2,404
G0800290,1930,Colorado,Delta,14204,2938,8129,1,13164,65650,10472930,850,187115,14,1730
G0800310,1930,Colorado,Denver,287861,287861,0,7204,272977,12000,2836287,16,3773,1,256
G0800330,1930,Colorado,Dolores,1412,0,748,0,1378,0,502800,0,71455,0,194
G0800350,1930,Colorado,Douglas,3498,0,2023,2,3383,0,8058665,0,347283,0,438
G0800370,1930,Colorado,Eagle,3924,0,1575,1,3526,31500,4283196,822,169794,4,370
G0800390,1930,Colorado,Elbert,6580,0,5198,13,6509,4640,13165632,480,966419,2,1239
G0800410,1930,Colorado,El Paso,49570,33237,6091,1096,47671,36880,17282952,2649,1068462,5,1458
G0800430,1930,Colorado,Fremont,18896,5938,4527,216,17740,0,7189054,0,366717,0,1270
G0800450,1930,Colorado,Garfield,9975,0,4738,11,9622,0,8472776,0,251791,0,1015
G0800470,1930,Colorado,Gilpin,1212,0,122,0,1203,0,149870,0,14374,0,34
G0800490,1930,Colorado,Grand,2108,0,860,0,2073,0,3172663,0,212341,0,229
G0800510,1930,Colorado,Gunnison,5527,0,1299,13,5259,0,4129000,0,215849,0,370
G0800530,1930,Colorado,Hinsdale,449,0,113,3,431,3000,382645,420,17722,1,43
G0800550,1930,Colorado,Huerfano,17062,5503,4147,254,14341,4000,4756629,320,495531,4,756
G0800570,1930,Colorado,Jackson,1386,0,781,0,1357,0,3430876,0,321277,0,203
G0800590,1930,Colorado,Jefferson,21810,0,8081,64,21582,76800,24029252,187,259503,10,1807
G0800610,1930,Colorado,Kiowa,3786,0,2584,30,3694,0,5529623,0,461829,0,579
G0800630,1930,Colorado,Kit Carson,9725,0,6749,0,9713,0,14396018,0,969104,0,1630
G0800650,1930,Colorado,Lake,4899,3771,108,17,4599,0,241389,0,20681,0,44
G0800670,1930,Colorado,La Plata,12975,5400,5057,35,10736,133346,6509913,10536,348591,79,1082
G0800690,1930,Colorado,Larimer,33137,16995,10191,13,31056,0,28541224,0,698304,0,1838
G0800710,1930,Colorado,Las Animas,36008,11732,9202,286,30913,41150,12219714,4207,1923716,13,1745
G0800730,1930,Colorado,Lincoln,7850,0,5140,1,7765,8000,13337856,320,1195397,1,1231
G0800750,1930,Colorado,Logan,19946,7195,9513,39,18992,96400,25834638,960,960417,8,1837
G0800770,1930,Colorado,Mesa,25908,10247,10581,72,24811,13900,16191324,99,344999,5,2660
G0800790,1930,Colorado,Mineral,640,0,114,1,608,0,643255,0,25511,0,50
G0800810,1930,Colorado,Moffat,4861,0,2835,1,4824,0,5670029,0,642257,0,797
G0800830,1930,Colorado,Montezuma,7798,0,4431,3,6515,800,5045542,34,285696,34,944
G0800850,1930,Colorado,Montrose,11742,3566,6823,8,10478,38200,7793894,385,230680,15,1303
G0800870,1930,Colorado,Morgan,18284,4423,9517,35,16830,63760,19672788,1575,631040,8,1561
G0800890,1930,Colorado,Otero,24390,10619,7602,222,19844,801380,12559006,13244,454602,52,1246
G0800910,1930,Colorado,Ouray,1784,0,674,3,1780,0,1652268,0,100925,0,178
G0800930,1930,Colorado,Park,2052,0,1155,0,1984,0,4018412,0,535826,0,394
G0800950,1930,Colorado,Phillips,5797,0,3197,0,5788,0,11796670,0,390370,0,766
G0800970,1930,Colorado,Pitkin,1770,0,696,3,1765,600,1684165,12,59876,1,179
G0800990,1930,Colorado,Prowers,14762,4233,6896,46,13257,32000,14839234,963,563681,3,1379
G0801010,1930,Colorado,Pueblo,66038,50096,7071,1333,59193,36700,15286782,897,1244544,6,1467
G0801030,1930,Colorado,Rio Blanco,2980,0,1739,16,2930,1000,5076685,90,336550,1,432
G0801050,1930,Colorado,Rio Grande,9953,2610,4319,4,9516,15000,14918998,150,201944,1,729
G0801070,1930,Colorado,Routt,9352,0,3211,125,8922,3000,8421670,60,527787,1,927
G0801090,1930,Colorado,Saguache,6250,0,2690,2,5742,0,8650968,0,454726,0,557
G0801110,1930,Colorado,San Juan,1935,0,0,4,1774,0,0,NA,NA,NA,NA
G0801130,1930,Colorado,San Miguel,2184,0,976,2,2107,10000,1689841,1830,169240,1,262
G0801150,1930,Colorado,Sedgwick,5580,0,2833,4,5101,226800,10453922,2343,305067,15,545
G0801170,1930,Colorado,Summit,987,0,220,0,980,0,729900,0,32231,0,61
G0801190,1930,Colorado,Teller,4141,0,592,7,4123,1200,1376591,60,134189,1,237
G0801210,1930,Colorado,Washington,9591,0,7696,27,9441,29920,15033352,1360,1236288,7,1746
G0801230,1930,Colorado,Weld,65097,12203,33981,111,55425,1182920,73693736,13265,1964518,112,5345
